# File:A323.globaltech_retirement.csv
# Title: Technology retirement parameters
# Units: #
# Column types: ccccnnnnnn
# ----------
supplysector,subsector,technology,year,lifetime,shutdown.rate,half.life,steepness,median.shutdown.point,profit.shutdown.steepness
mining energy use,hydrogen,hydrogen,initial-future-year,20,,10,0.15,-0.2,6
mining energy use,electricity,electricity,initial-future-year,20,,10,0.15,-0.2,6
construction,construction,construction,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,coal,coal,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,gas,gas,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,liquid,liquid,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,biomass,biomass,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,hydrogen,hydrogen,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,electricity,electricity,initial-future-year,20,,10,0.15,-0.2,6
construction feedstock,coal,coal,initial-future-year,20,,10,0.15,-0.2,6
construction feedstock,gas,gas,initial-future-year,20,,10,0.15,-0.2,6
construction feedstock,liquid,liquid,initial-future-year,20,,10,0.15,-0.2,6
agriculture energy use,district heat,district heat,initial-future-year,20,,10,0.15,-0.2,6
chemical energy use,district heat,district heat,initial-future-year,20,,10,0.15,-0.2,6
chemical feedstock,Electronic fuel,Electronic fuel,initial-future-year,20,,10,0.15,-0.2,6
construction energy use,district heat,district heat,initial-future-year,20,,10,0.15,-0.2,6
mining energy use,district heat,district heat,initial-future-year,20,,10,0.15,-0.2,6
agriculture energy use,district heat,district heat,final-calibration-year,20,,10,0.15,-0.2,6
chemical energy use,district heat,district heat,final-calibration-year,20,,10,0.15,-0.2,6
chemical feedstock,Electronic fuel,Electronic fuel,final-calibration-year,20,,10,0.15,-0.2,6
construction energy use,district heat,district heat,final-calibration-year,20,,10,0.15,-0.2,6
mining energy use,district heat,district heat,final-calibration-year,20,,10,0.15,-0.2,6
